Store Name,Address,City,Format,Comment
Магнит 392756,"Курганская обл, Шадринский р-н, Красная Нива с, Школьная ул, 5А",,Undefined,No match; needs manual map lookup
Магнит 290741,"Московская обл, Талдом г, Высочки д, 15А",,Undefined,No match; needs manual map lookup
Магнит 201718,"Нижегородская обл, Нижний Новгород г, Культуры ул, 107",,Undefined,No match; needs manual map lookup
Магнит 169419,"Санкт-Петербург г, Кораблестроителей ул, 33, стр А",,Undefined,No match; needs manual map lookup
Магнит 62999,"Пермский край, Оханский р-н, Оханск г, Кирова ул, 16",,Undefined,No match; needs manual map lookup
Магнит 80870,"Новосибирская обл, Новосибирск г, Ипподромская ул, 12",,Undefined,No match; needs manual map lookup
Магнит 73792,"Курская обл, Курск г, Литовская ул, 2К",,Undefined,No match; needs manual map lookup
Магнит 943809,"Татарстан, Альметьевский р-н, Альметьевск г, Ленина ул, 109А",,Undefined,No match; needs manual map lookup
Магнит 935394,"Санкт-Петербург г, Ждановская ул, 45, стр А",,Undefined,No match; needs manual map lookup
Магнит 857520,"Свердловская обл, Екатеринбург г, Шефская ул, 93, к 1",,Undefined,No match; needs manual map lookup
Магнит 850772,"Кировская обл, Кирово-Чепецкий р-н, Шутовщина д, Ботаническая ул, 6",,Undefined,No match; needs manual map lookup
Магнит 801080,"Москва г, Чоботовская ул, 2, к 2",,Undefined,No match; needs manual map lookup
Магнит 892050,"Московская обл, Королёв г, Горького ул, 14Г",,Undefined,No match; needs manual map lookup
Магнит 942017,"Москва г, Любучанский пер, 1, к 1",,Undefined,No match; needs manual map lookup
Магнит 817304,"Удмуртия, Ижевск г, Базарная пл, 1, к 1",,Undefined,No match; needs manual map lookup
Магнит 733445,"Краснодарский край, Сочи г, Ленина ул, 264, к 1А",,Undefined,No match; needs manual map lookup
Магнит 718149,"Московская обл, Балашиха г, Чистопольская ул, 24",,Undefined,No match; needs manual map lookup
Магнит 639771,"Владимирская обл, Александровский р-н, Автодорога Площево-Струнино тер, 25, стр 2",,Undefined,No match; needs manual map lookup
Магнит 612435,"Ярославская обл, Ярославль г, Фрунзе пр-кт, 42",,Undefined,No match; needs manual map lookup
Магнит 593918,"Иркутская обл, Ангарск г, 17 кв-л, 20А",,Undefined,No match; needs manual map lookup
Магнит 627546,"Чувашия, Чебоксарский р-н, Альгешево с",,Undefined,No match; needs manual map lookup
Магнит 589491,"Ростовская обл, Азовский р-н, Самарское с, Жданова пер, 91",,Undefined,No match; needs manual map lookup
Магнит 481707,"Пермский край, Чернушинский р-н, Чернушка г, Ленина ул, 123",,Undefined,No match; needs manual map lookup
Магнит 492928,"Московская обл, Котельники г, Парковый мкр, Парковый, 14",,Undefined,No match; needs manual map lookup
Магнит 352416,"Санкт-Петербург г, Маршала Казакова ул, 78, к 1, стр А",,Undefined,No match; needs manual map lookup
Магнит 422467,"Москва г, Пришвина ул, 3",,Undefined,No match; needs manual map lookup
Магнит 380595,"Москва г, Коммунарка р-н, Куприна пр-кт, 7, к 1",,Undefined,No match; needs manual map lookup
Магнит 280458,"Липецкая обл, Задонский р-н, Задонск г, Советская ул, 24А",,Undefined,No match; needs manual map lookup
Магнит 280207,"Вологодская обл, Череповец г, Раахе ул",,Undefined,No match; needs manual map lookup
Магнит 282490,"Оренбургская обл, Оренбург г, Цвиллинга ул, 23А",,Undefined,No match; needs manual map lookup
Магнит 234387,"Липецкая обл, Чаплыгинский р-н, Новополянье с, Центральная ул, 97",,Undefined,No match; needs manual map lookup
Магнит 209629,"Санкт-Петербург г, Ветеранов пр-кт, 171, к 1, стр 1",,Undefined,No match; needs manual map lookup
Магнит 163523,"Брянская обл, Жуковский р-н, Жуковка г, Карла Маркса ул, 46",,Undefined,No match; needs manual map lookup
Магнит 197701,"Тульская обл, Богородицкий р-н, Богородицк г, Ленина ул, 26В",,Undefined,No match; needs manual map lookup
Магнит 152824,"Самарская обл, Кинельский р-н, Алакаевка с, Юбилейная ул, 7",,Undefined,No match; needs manual map lookup
Магнит 120788,"Татарстан, Набережные Челны г, им Вахитова пр-кт, 8",,Undefined,No match; needs manual map lookup
Магнит 111387,"Татарстан, Казань г, Ярдем ул, 23",,Undefined,No match; needs manual map lookup
Магнит 139861,"Иркутская обл, Иркутск г, Киренская ул, стр 61",,Undefined,No match; needs manual map lookup
Магнит 53706,"Свердловская обл, Верхняя Пышма г, Петрова ул, 11/2А",,Undefined,No match; needs manual map lookup
