Store Name,Address,City,Format,Comment
Магнит 169419,"Санкт-Петербург г, Кораблестроителей ул, 33, стр А",Санкт-Петербург,Undefined,No Yandex result
Магнит 62999,"Пермский край, Оханский р-н, Оханск г, Кирова ул, 16",Оханск,Undefined,No Yandex result
Магнит 80870,"Новосибирская обл, Новосибирск г, Ипподромская ул, 12",Новосибирск,Undefined,No Yandex result
Магнит 73792,"Курская обл, Курск г, Литовская ул, 2К",Курск,Undefined,No Yandex result
Магнит 943809,"Татарстан, Альметьевский р-н, Альметьевск г, Ленина ул, 109А",Альметьевск,Undefined,No Yandex result
Магнит 935394,"Санкт-Петербург г, Ждановская ул, 45, стр А",Санкт-Петербург,Undefined,No Yandex result
Магнит 857520,"Свердловская обл, Екатеринбург г, Шефская ул, 93, к 1",Екатеринбург,Undefined,No Yandex result
Магнит 850772,"Кировская обл, Кирово-Чепецкий р-н, Шутовщина д, Ботаническая ул, 6",,Undefined,No Yandex result
Магнит 801080,"Москва г, Чоботовская ул, 2, к 2",Москва,Undefined,No Yandex result
Магнит 892050,"Московская обл, Королёв г, Горького ул, 14Г",орького ул,Undefined,No Yandex result
Магнит 942017,"Москва г, Любучанский пер, 1, к 1",Москва,Undefined,No Yandex result
Магнит 817304,"Удмуртия, Ижевск г, Базарная пл, 1, к 1",Ижевск,Undefined,No Yandex result
Магнит 733445,"Краснодарский край, Сочи г, Ленина ул, 264, к 1А",Сочи,Undefined,No Yandex result
Магнит 718149,"Московская обл, Балашиха г, Чистопольская ул, 24",Балашиха,Undefined,No Yandex result
Магнит 639771,"Владимирская обл, Александровский р-н, Автодорога Площево-Струнино тер, 25, стр 2",,Undefined,No Yandex result
Магнит 612435,"Ярославская обл, Ярославль г, Фрунзе пр-кт, 42",Ярославль,Undefined,No Yandex result
Магнит 593918,"Иркутская обл, Ангарск г, 17 кв-л, 20А",Ангарск,Undefined,No Yandex result
Магнит 627546,"Чувашия, Чебоксарский р-н, Альгешево с",,Undefined,No Yandex result
Магнит 589491,"Ростовская обл, Азовский р-н, Самарское с, Жданова пер, 91",,Undefined,No Yandex result
Магнит 481707,"Пермский край, Чернушинский р-н, Чернушка г, Ленина ул, 123",Чернушка,Undefined,No Yandex result
Магнит 492928,"Московская обл, Котельники г, Парковый мкр, Парковый, 14",Котельники,Undefined,No Yandex result
Магнит 352416,"Санкт-Петербург г, Маршала Казакова ул, 78, к 1, стр А",Санкт-Петербург,Undefined,No Yandex result
Магнит 422467,"Москва г, Пришвина ул, 3",Москва,Undefined,No Yandex result
Магнит 380595,"Москва г, Коммунарка р-н, Куприна пр-кт, 7, к 1",Москва,Undefined,No Yandex result
Магнит 280458,"Липецкая обл, Задонский р-н, Задонск г, Советская ул, 24А",Задонск,Undefined,No Yandex result
Магнит 280207,"Вологодская обл, Череповец г, Раахе ул",Череповец,Undefined,No Yandex result
Магнит 282490,"Оренбургская обл, Оренбург г, Цвиллинга ул, 23А",Оренбург,Undefined,No Yandex result
Магнит 234387,"Липецкая обл, Чаплыгинский р-н, Новополянье с, Центральная ул, 97",,Undefined,No Yandex result
Магнит 209629,"Санкт-Петербург г, Ветеранов пр-кт, 171, к 1, стр 1",Санкт-Петербург,Undefined,No Yandex result
Магнит 163523,"Брянская обл, Жуковский р-н, Жуковка г, Карла Маркса ул, 46",Жуковка,Undefined,No Yandex result
Магнит 197701,"Тульская обл, Богородицкий р-н, Богородицк г, Ленина ул, 26В",Богородицк,Undefined,No Yandex result
Магнит 152824,"Самарская обл, Кинельский р-н, Алакаевка с, Юбилейная ул, 7",,Undefined,No Yandex result
Магнит 120788,"Татарстан, Набережные Челны г, им Вахитова пр-кт, 8",Набережные Челны,Undefined,No Yandex result
Магнит 111387,"Татарстан, Казань г, Ярдем ул, 23",Казань,Undefined,No Yandex result
Магнит 139861,"Иркутская обл, Иркутск г, Киренская ул, стр 61",Иркутск,Undefined,No Yandex result
Магнит 53706,"Свердловская обл, Верхняя Пышма г, Петрова ул, 11/2А",Верхняя Пышма,Undefined,No Yandex result
